,위치,주소,전화번호,위도,경도
50,르와보바,"Lwabagabo, Uganda", (대략적 위치),0.5333334,31.39999959999999
51,마틴디,"Masindi, Uganda", (대략적 위치),1.6873134,31.7138458
52,메리키티,"merikit, Uganda", (대략적 위치),1.373333,32.290275
53,부케데아,"bukedea, Uganda", (대략적 위치),1.347685,34.0432575
54,부겜베,"bugembe, Uganda", (대략적 위치),0.465467,33.2391334
55,나우요,"Nauyo, Uganda", (대략적 위치),1.0467289,34.1825417
56,우비라/송고,"uvira, Congo", (대략적 위치),-3.3728836,29.1448793
57,키리바 부타호,"kiliba Butaho, Congo", (대략적 위치),-3.2322903,29.1652303
58,키리바 무센가,, (대략적 위치),,
59,루겐게,"Lukenge, Congo", (대략적 위치),-6.2439938,23.4448063
60,카센가,"kasenga, Congo", (대략적 위치),-10.62279,26.758289
61,부카부,"bukavu, Congo", (대략적 위치),-2.5123017,28.8480284
62,오락,, (대략적 위치),,
63,산자,"Sangha, Congo", (대략적 위치),1.4662328,15.4068079
64,카툰가,"Katanga, Congo", (대략적 위치),-8.8851145,26.419389
65,카렘베렘베,, (대략적 위치),,
66,세베레,"severe, Congo", (대략적 위치),-4.038333,21.758664
67,나무닌디,, (대략적 위치),,
68,카본도지,, (대략적 위치),,
69,카툰구루1,"Katunguru, Congo", (대략적 위치),-0.1486334,30.0650793
70,카레레,, (대략적 위치),,
71,바라카,"Baraka, Congo", (대략적 위치),-4.0998638,29.0935525
72,무롱그웨/말린데,, (대략적 위치),,
73,마토보라,, (대략적 위치),,
74,피지 센터,, (대략적 위치),,
75,비타리로,"bitari, Congo", (대략적 위치),-4.416666999999999,16.866667
76,미부라,, (대략적 위치),,
77,루람보,, (대략적 위치),,
78,카엔게/카시카,"Kasika, Congo", (대략적 위치),-2.927778,28.531389
79,카베지,"Kabezi, Burundi", (대략적 위치),-3.5215271,29.3598782
80,카뇨샤,"Kanyosha, Burundi", (대략적 위치),-3.4309203,29.4063234
81,부테레레,"Buterere, Burundi", (대략적 위치),-3.331253,29.3308425
82,차라마,"carama, Burundi", (대략적 위치),-3.3196452,29.38718009999999
83,가세니,"Gasenyi, Burundi", (대략적 위치),-3.033333,29.633333
84,키분게레,"Kibungere, Burundi", (대략적 위치),-3.4421855,29.973612
85,보고라,"Bogora, Burundi", (대략적 위치),-3.373056,29.918886
86,야비시가,"Bisiga, Burundi", (대략적 위치),-2.4851142,30.4641423
87,가타라,"Gatara, Burundi", (대략적 위치),-2.9986697,29.6615055
88,마통고,"Matongo, Burundi", (대략적 위치),-3.0832329,29.6080092
89,카얀자,"Kayanza, Burundi", (대략적 위치),-2.9234745,29.6277775
90,체루,"Ceru, Burundi", (대략적 위치),-2.456408,30.101914
91,기쿠요,"Gikuyo, Burundi", (대략적 위치),-2.6147685,30.0730845
92,미공고,"Migongo, Burundi", (대략적 위치),-4.2097833,29.8771808
93,양잘락,, (대략적 위치),,
94,야비기나,, (대략적 위치),,
95,무양게,"Muyange, Burundi", (대략적 위치),-4.306900700000001,29.6848173
96,키데레게,"Kiderege, Burundi", (대략적 위치),-4.235613799999999,29.6463537
97,부헤카,"Buheka, Burundi", (대략적 위치),-4.2125678,29.6232657
98,무게라마,"Mugerama, Burundi", (대략적 위치),-4.3114892,29.598937
99,마캄바,"Makamba, Burundi", (대략적 위치),-4.1384805,29.803397
100,루타나,"Rutana, Burundi", (대략적 위치),-3.9285639,29.9898766
101,카요고로,"Kayogoro, Burundi", (대략적 위치),-4.118373,29.9486133
102,키바고,"Kibago, Burundi", (대략적 위치),-4.2986883,29.9046594
103,치비토케,"Cibitoke, Burundi", (대략적 위치),-2.9107321,29.1262613
104,루게레게레,, (대략적 위치),,
105,은다바,"Ndaba, Burundi", (대략적 위치),-3.373056,29.918886
106,우타쿠라,, (대략적 위치),,
107,키빔바,"Kibimba, Burundi", (대략적 위치),-3.1285538,30.6960895
108,키부예,"Kibuye, Burundi", (대략적 위치),-3.6647231,29.9793177
109,루게레로,"Rugerero, Burundi", (대략적 위치),-3.1506093,30.7256943
110,가세니,"Gasenyi, Burundi", (대략적 위치),-3.033333,29.633333
111,람무부라,, (대략적 위치),,
112,가퉁구웨,"Gatungurwe, Burundi", (대략적 위치),-3.1880185,30.5849776
113,마쉬가,"Mashiga, Burundi", (대략적 위치),-2.9640153,30.6073107
114,무훼자,"Muhweza, Burundi", (대략적 위치),-3.1401251,30.6245994
115,루준구,, (대략적 위치),,
116,사스웨,"Saswe, Burundi", (대략적 위치),-2.9710581,30.5758163
117,부반자,"Bubanza, Burundi", (대략적 위치),-3.083444,29.3941596
118,무진다,"Muzinda, Burundi", (대략적 위치),-3.2619682,29.4179214
119,키라사,"Kirasa, Gitunda, Burundi", (대략적 위치),-3.6056797,29.3879792
120,마람봐,"Maramvya, Burundi", (대략적 위치),-3.55,29.966667
121,얌파라하라,, (대략적 위치),,
122,키그와티,"Kigwati, Burundi", (대략적 위치),-3.2,29.366667
123,루코바,"Rukoba, Burundi", (대략적 위치),-3.4029522,29.9153169
124,무송게,"Musonge, Burundi", (대략적 위치),-3.040887,29.6406136
125,카부예,"Kabuye, Burundi", (대략적 위치),-3.672728599999999,30.27025
126,비리지,, (대략적 위치),,
127,치부기자,"Civugiza, Burundi", (대략적 위치),-2.994453,29.7995473
128,무세마,"Musema, Burundi", (대략적 위치),-3.0762993,29.6699172
129,키바부,"Kibavu, Burundi", (대략적 위치),-3.0524403,29.6351298
130,방가,"Banga, Burundi", (대략적 위치),-3.373056,29.918886
131,부라라나,"Burarana, Burundi", (대략적 위치),-3.997099999999999,29.6925852
132,고로,, (대략적 위치),,
133,가홈보,"Gahombo, Burundi", (대략적 위치),-3.016667,29.766667
134,키룬도,"Kirundo, Burundi", (대략적 위치),-2.5595774,30.0896313
135,미타카,"Mitakataka, Burundi", (대략적 위치),-3.1539012,29.3661121
136,무쿠바노,"Mukubano, Burundi", (대략적 위치),-4.2631587,29.677501
137,카지라바게니,"Kazirabageni, Burundi", (대략적 위치),-4.2678571,29.6249965
138,무게마,"Mugerama, Burundi", (대략적 위치),-4.3114892,29.598937
139,윔비로,, (대략적 위치),,
140,무툰투,"Mutuntu Ngomante, Burundi", (대략적 위치),-3.7467485,30.3724545
141,카봉가,"Kabonga, Burundi", (대략적 위치),-4.405544600000001,29.6704901
142,무쿤구,"Mukungu, Burundi", (대략적 위치),-4.217956099999999,29.5483357
143,옌그웨,, (대략적 위치),,
144,야카지,, (대략적 위치),,
145,키보가,"Kivoga, Burundi", (대략적 위치),-3.259948000000001,29.418619
146,부케예,"Bukeye, Burundi", (대략적 위치),-3.2022369,29.6267347
147,마반다,"Mabanda, Burundi", (대략적 위치),-4.2722928,29.7831356
148,기쿠라조,"Gikurazo, Burundi", (대략적 위치),-4.3747927,29.7854965
149,무세뉘,"Musenyi, Burundi", (대략적 위치),-3.1931795,29.4054468
150,부존디,"Bujondi, Burundi", (대략적 위치),-3.373056,29.918886
151,펨바,"Samumpemba Nyarusange, Burundi", (대략적 위치),-3.0578455,29.4598081
152,무게니,"Mugeni, Burundi", (대략적 위치),-4.119606,30.0527798
153,무라니라,, (대략적 위치),,
154,가소뤠,"Gasorwe, Burundi", (대략적 위치),-2.8334814,30.2281933
155,기호마,"Gihoma, Burundi", (대략적 위치),-3.4291783,29.768549
156,은고지,"Ngozi, Burundi", (대략적 위치),-2.9107175,29.8243599
157,루투모,"Rutumo, Burundi", (대략적 위치),-2.733333,29.316667
158,루몽게,"Rumonge, Burundi", (대략적 위치),-3.9754049,29.4388014
159,춘다,"Cunda, Burundi", (대략적 위치),-3.373056,29.918886
160,야카라,, (대략적 위치),,
161,가테레니,, (대략적 위치),,
162,야쿠구마,, (대략적 위치),,
163,키보마,"Kivoma, Burundi", (대략적 위치),-4.0655325,29.8654849
164,무숨바,"Musumba, Burundi", (대략적 위치),-3.5473802,30.353713
165,야무사사,, (대략적 위치),,
166,야비타카,, (대략적 위치),,
